Nose_X,Nose_Y,Nose_C,Neck_X,Neck_Y,Neck_C,RShoulder_X,RShoulder_Y,RShoulder_C,RElbow_X,RElbow_Y,RElbow_C,RWrist_X,RWrist_Y,RWrist_C,LShoulder_X,LShoulder_Y,LShoulder_C,LElbow_X,LElbow_Y,LElbow_C,LWrist_X,LWrist_Y,LWrist_C,RHip_X,RHip_Y,RHip_C,RKnee_X,RKnee_Y,RKnee_C,RAnkle_X,RAnkle_Y,RAnkle_C,LHip_X,LHip_Y,LHip_C,LKnee_X,LKnee_Y,LKnee_C,LAnkle_X,LAnkle_Y,LAnkle_C,REye_X,REye_Y,REye_C,LEye_X,LEye_Y,LEye_C,REar_X,REar_Y,REar_C,LEar_X,LEar_Y,LEar_C
316.343,274.544,0.78695,317.657,373.794,0.570681,208.015,381.629,0.389588,0.0,0.0,0.0,0.0,0.0,0.0,427.278,365.945,0.466943,502.982,476.919,0.176312,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.04,247.201,0.850079,341.135,244.495,0.826749,252.373,265.405,0.800903,376.381,244.592,0.794593
315.032,274.546,0.781357,318.953,372.503,0.583211,210.631,380.329,0.3913,0.0,0.0,0.0,0.0,0.0,0.0,428.59,365.936,0.466655,499.077,476.916,0.143709,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.977,248.505,0.809242,339.872,244.496,0.84666,249.793,265.411,0.781179,375.073,245.84,0.800264
316.309,275.831,0.788784,320.251,372.475,0.578781,211.946,380.28,0.410125,0.0,0.0,0.0,0.0,0.0,0.0,428.605,365.943,0.469252,497.796,476.919,0.12996,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.721,248.498,0.80034,339.901,243.27,0.829103,248.485,264.169,0.780681,376.369,244.589,0.794775
315.062,274.601,0.788814,318.967,371.217,0.601846,213.225,378.99,0.403136,0.0,0.0,0.0,0.0,0.0,0.0,428.586,364.656,0.479777,499.095,476.919,0.215003,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.982,249.764,0.817736,341.145,244.517,0.820651,251.093,265.419,0.76772,376.384,244.578,0.791427
318.951,274.555,0.820853,318.987,372.464,0.586225,211.931,380.33,0.394895,0.0,0.0,0.0,0.0,0.0,0.0,427.301,363.361,0.469677,497.759,476.917,0.14026,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.353,247.188,0.862484,345.089,243.26,0.812739,252.376,262.836,0.75327,378.957,245.863,0.79778
319.02,273.253,0.776304,320.256,371.214,0.561243,213.248,377.692,0.398587,0.0,0.0,0.0,0.0,0.0,0.0,431.181,365.948,0.470614,500.369,476.915,0.167101,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.627,245.844,0.907305,346.38,238.076,0.798293,254.988,261.529,0.767717,380.249,243.234,0.790576
321.592,271.961,0.748066,320.291,372.515,0.551713,213.216,377.706,0.386303,0.0,0.0,0.0,0.0,0.0,0.0,431.186,368.529,0.464749,497.777,476.917,0.110892,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.98,244.626,0.847846,348.928,238.045,0.835907,256.322,260.236,0.774042,380.266,244.51,0.815436
326.756,269.354,0.752418,321.56,372.486,0.558541,214.531,380.31,0.402301,0.0,0.0,0.0,0.0,0.0,0.0,429.892,365.947,0.461946,500.378,476.916,0.119143,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.143,244.543,0.837794,350.265,236.746,0.854809,257.641,257.653,0.789279,380.361,241.971,0.769131
328.087,269.364,0.770609,321.562,371.215,0.585462,214.562,378.985,0.395078,0.0,0.0,0.0,0.0,0.0,0.0,428.601,365.937,0.472369,496.473,476.92,0.116019,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.737,244.579,0.87932,351.578,236.78,0.827332,261.556,258.936,0.750959,381.659,241.96,0.717881
329.42,269.395,0.805188,320.276,371.19,0.5967,214.557,377.679,0.40304,0.0,0.0,0.0,0.0,0.0,0.0,427.307,365.953,0.482972,496.452,476.917,0.1195,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.082,244.547,0.884072,356.79,241.924,0.812308,265.467,261.516,0.763217,385.534,244.55,0.678516
