video_name,attention
subject_26_Vid_1,0.66
subject_26_Vid_2,0.66
subject_26_Vid_3,0.33
subject_26_Vid_4,0.66
subject_26_Vid_5,0.33
subject_26_Vid_5_1,0.66
subject_26_Vid_5_2,0.66
subject_26_Vid_7,0.33
subject_27_Vid_1,0.66
subject_29_Vid_6,0.66
subject_29_Vid_7,0.33
subject_30_Vid_1,0.33
subject_30_Vid_2,0.66
subject_30_Vid_3,0.66
subject_30_Vid_4,1
subject_30_Vid_5,0.33
subject_32_Vid_6,1
subject_32_Vid_1,0.66
subject_32_Vid_2,0.66
subject_32_Vid_3,0.66
subject_32_Vid_4,0.66
subject_32_Vid_5,0.66
subject_32_Vid_7,0.33
subject_33_Vid_1,0.33
subject_33_Vid_2,0.66
subject_33_Vid_3,0.66
subject_33_Vid_4,0.66
subject_33_Vid_7,0.66
subject_34_Vid_7,1
subject_34_Vid_1,0.66
subject_34_Vid_5,0.66
subject_35_Vid_6,0.33
subject_35_Vid_7,0.66
subject_36_Vid_7,0.66
subject_37_Vid_7,0.66
subject_38_Vid_7,0.66
subject_39_Vid_6,0.66
subject_39_Vid_7,0.33
subject_40_Vid_6,0.66
subject_40_Vid_7,0.33
subject_41_Vid_6,1
subject_41_Vid_2,0
subject_41_Vid_3,0.66
subject_41_Vid_4,0.33
subject_41_Vid_5,0.33
subject_41_Vid_5_1,0.66
subject_41_Vid_5_2,0.33
subject_41_Vid_7,0.66
subject_42_Vid_7,1
subject_43_Vid_7,0.66
subject_44_Vid_7,0.33
subject_45_Vid_7,0.33
subject_46_Vid_6,0.66
subject_47_Vid_6,1
subject_48_Vid_6,1
subject_48_Vid_7,0.66
subject_49_Vid_7,0.66
subject_50_Vid_6,0.66
subject_50_Vid_1,0.66
subject_50_Vid_2,0.33
subject_50_Vid_3,0.33
subject_50_Vid_4,0.33
subject_50_Vid_5,0.33
subject_51_Vid_7,1
subject_52_Vid_7,0
subject_53_Vid_2,0.66
subject_53_Vid_3,0.66
subject_53_Vid_4,0.66
subject_53_Vid_5,0.66
subject_54_Vid_6,0.66
subject_55_Vid_6,0.66
subject_56_Vid_6,0.66
subject_56_Vid_1,0.66
subject_56_Vid_2,0.66
subject_56_Vid_3,1
subject_56_Vid_4,0.66
subject_56_Vid_5,0.66
subject_57_Vid_7,1
subject_58_Vid_6,1
subject_58_Vid_7,0.66
subject_59_Vid_7,0.66
subject_60_Vid_6,1
subject_60_Vid_7,0.66
subject_62_Vid_1,0.66
subject_62_Vid_2,1
subject_62_Vid_3,0.33
subject_62_Vid_4,1
subject_62_Vid_5,0.66
subject_62_Vid_7,0.66
subject_63_Vid_7,0.33
subject_64_Vid_6,1
subject_64_Vid_7,0.33
subject_65_Vid_6,1
subject_66_Vid_6,1
subject_66_Vid_7,0.33
subject_67_Vid_6,0.66
subject_67_Vid_1,1
subject_67_Vid_2,0.66
subject_67_Vid_4,0.66
subject_67_Vid_5,0.66
subject_68_Vid_6,0.66
subject_68_Vid_7,0.33
subject_69_Vid_6,1
subject_69_Vid_7,0.66
subject_70_Vid_6,0.66
subject_70_Vid_1,0.66
subject_70_Vid_2,0.66
subject_70_Vid_3,0.66
subject_70_Vid_4,0.66
subject_70_Vid_5,0.33
subject_72_Vid_6,0.66
subject_73_Vid_6,1
subject_73_Vid_7,1
subject_74_Vid_7,0
subject_75_Vid_7,0.66
subject_76_Vid_6,0.66
subject_76_Vid_7,1
subject_77_Vid_1,0.33
subject_77_Vid_2,0.33
subject_77_Vid_3,0.66
subject_77_Vid_4,0.66
subject_77_Vid_5,0
subject_78_Vid_6,0.66
subject_79_Vid_7,0.66
subject_80_Vid_6,0.66
subject_80_Vid_1,0.66
subject_80_Vid_2,0.66
subject_80_Vid_3,0.66
subject_80_Vid_4,0.66
subject_80_Vid_5,0.66
subject_81_Vid_7,0.33
subject_82_Vid_7,1
subject_83_Vid_7,1
subject_84_Vid_6,0.33
subject_84_Vid_1,0.33
subject_84_Vid_2,0.33
subject_84_Vid_3,0
subject_84_Vid_4,0.33
subject_84_Vid_5,0.33
subject_85_Vid_7,1
subject_86_Vid_7,1
subject_77_Vid_7,0.33
subject_34_Vid_2,0.66
subject_34_Vid_3,1
subject_34_Vid_4,0.66
